        || Local Search (INC)                            || Local Search (CH)                             || Local Step (INC)                              || Local Step (CH)                               || Global Step (INC)                             || Global Step (CH)                              || Subdivision                                   ||
Size    || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound ||
10      || 0.2930    | 0.8931    | 0.3423    | 0.8715    || 0.3736    | 0.8737    | 0.4551    | 0.8216    || 0.4496    | 0.8172    | 0.5677    | 0.7559    || 0.3989    | 0.7699    | 0.5204    | 0.5814    || 0.3704    | 0.8754    | 0.4577    | 0.8475    || 0.3620    | 0.8488    | 0.4551    | 0.8047    || ---       | ---       | ---       | ---       ||
15      || 0.2646    | 0.8756    | 0.3825    | 0.8263    || 0.2320    | 0.8880    | 0.3437    | 0.8442    || 0.3944    | 0.7272    | 0.5309    | 0.6459    || 0.4089    | 0.8562    | 0.8341    | 0.7963    || 0.3190    | 0.8149    | 0.4070    | 0.7337    || 0.2751    | 0.8815    | 0.3575    | 0.8341    || ---       | ---       | ---       | ---       ||
20      || 0.2145    | 0.8954    | 0.2886    | 0.8582    || 0.2047    | 0.8992    | 0.2786    | 0.8599    || 0.3343    | 0.7899    | 0.4408    | 0.6649    || 0.3625    | 0.8720    | 0.7118    | 0.8482    || 0.2470    | 0.8915    | 0.3170    | 0.8509    || 0.2171    | 0.8949    | 0.2906    | 0.8599    || ---       | ---       | ---       | ---       ||
25      || 0.1904    | 0.8966    | 0.2470    | 0.8820    || 0.1677    | 0.8983    | 0.1865    | 0.8584    || 0.3496    | 0.8323    | 0.4162    | 0.8072    || 0.3033    | 0.8661    | 0.5132    | 0.8102    || 0.2093    | 0.8640    | 0.2625    | 0.8399    || 0.1938    | 0.8923    | 0.2552    | 0.8514    || ---       | ---       | ---       | ---       ||
30      || 0.1783    | 0.8861    | 0.1994    | 0.8373    || 0.1661    | 0.9017    | 0.2364    | 0.8918    || 0.3153    | 0.8109    | 0.4239    | 0.6943    || 0.3063    | 0.8266    | 0.5950    | 0.7601    || 0.1894    | 0.8752    | 0.2192    | 0.8596    || 0.2539    | 0.8757    | 0.4766    | 0.8255    || ---       | ---       | ---       | ---       ||
35      || 0.1837    | 0.8629    | 0.2086    | 0.8481    || 0.1933    | 0.8919    | 0.2223    | 0.8640    || 0.2717    | 0.8048    | 0.3223    | 0.7716    || 0.3617    | 0.8405    | 0.4999    | 0.7133    || 0.1970    | 0.8381    | 0.2340    | 0.8106    || 0.2221    | 0.8685    | 0.2493    | 0.7836    || ---       | ---       | ---       | ---       ||
40      || 0.1983    | 0.8822    | 0.2821    | 0.8509    || 0.1795    | 0.8820    | 0.2780    | 0.8322    || 0.2684    | 0.7577    | 0.4392    | 0.6410    || 0.3199    | 0.8174    | 0.6073    | 0.6701    || 0.2169    | 0.8645    | 0.3370    | 0.8274    || 0.2017    | 0.8524    | 0.2888    | 0.7621    || ---       | ---       | ---       | ---       ||
45      || 0.1820    | 0.8867    | 0.2511    | 0.8628    || 0.1475    | 0.9057    | 0.2137    | 0.8581    || 0.2445    | 0.7790    | 0.2939    | 0.7023    || 0.2883    | 0.8221    | 0.5211    | 0.6221    || 0.1826    | 0.8762    | 0.2491    | 0.8322    || 0.1795    | 0.8847    | 0.2443    | 0.8398    || ---       | ---       | ---       | ---       ||
50      || 0.1670    | 0.8817    | 0.2124    | 0.8493    || 0.1652    | 0.9063    | 0.2073    | 0.8809    || 0.2469    | 0.7954    | 0.3076    | 0.7614    || 0.2871    | 0.7897    | 0.3914    | 0.5135    || 0.2106    | 0.8621    | 0.2782    | 0.8393    || 0.2084    | 0.8781    | 0.2250    | 0.8057    || ---       | ---       | ---       | ---       ||
60      || 0.1476    | 0.8764    | 0.1584    | 0.8609    || 0.1665    | 0.8903    | 0.1853    | 0.8543    || 0.2213    | 0.8052    | 0.2362    | 0.7941    || 0.3404    | 0.8370    | 0.5394    | 0.7156    || 0.1646    | 0.8576    | 0.1874    | 0.8360    || 0.2295    | 0.8771    | 0.3050    | 0.8220    || ---       | ---       | ---       | ---       ||
